text,label,keyword
"Five years after the event, I still had that automatic reaction of walking away when someone speaks to me and putting on my fake facial expression as if they are looking at you. Although I graduated from high school with no experience, it still left me nervous even though I attended classes in college.",3,"walk, run, soccer"
"As a result of all the above, I enjoy going outdoors. However, walking around my neighborhood can be daunting for me because there are chances that someone will come up to us and ask or try to ask for some money even though I don't have any.",3,"outside, walk"
"Often, I decline invitations to go outside in densely congested urban areas and struggle to maintain eye contact with people at school.",3,"outside, walk"
"The struggles of swimming in public and feeling anxious about the impact on my self-esteem are making it difficult for me to enjoy myself. Despite wanting to go out, I struggle with how to swim confidently and feel confident in front of an audience.",3,"swimming, swim, lake"
"Each time we go out I get a sudden nervousness that lasts ages, cripples me. People look at me or cars drive by and I feel uneasy.",3,"walk, outside"
"I think it depends on how people perceive others. For instance, my SAD made me feel paranoid about being judged by those around me who couldn't perform simple social tasks and resisted attempts to engage in conversation or talking. This is particularly risky for individuals with SADD and/or other conditions.",3,"walk, outside"
"Even though I want to jog in the morning, I feel too self-aware. My lack of experience with sports and exercise has kept me from getting fit. As a result, this has made me consider joining if it were possible for me to start training at 2:30pm.",3,jogging
"The situation is much more challenging than I imagine. It seems like everyone in a social setting, such as boarding school, work place or restaurant, views me negatively, and sometimes even leads to negative comments from others.",3,park
"Since obtaining my puppy, I have been taking medication for years, but still experience nausea and vomiting when people approach me to talk about my newfound companion. What steps have you taken to improve your situation?",3,outside
"It's been a while since I visited California, but even though it was worth it, social anxiety is still weighing heavily on me. Although my trip has cleared me of any negative emotions, I am grateful for the opportunity to explore more attractions and enjoy life without being stuck in stressful situations like crossing bridges or hitting up someone at work.",3,"runs, park"
"Walkouts are so scary because everyone drives to work and I have to walk my dog every morning for school. Even though I would be fine with this, as there might also be other people walking outside on the sidewalk in New York City; it'll be difficult if I live in an urban area where there are only a few dogswalkers available, and cars will continue to look at me unnecessarily and judge me unfairly.",3,"walk, outside"
"Whether I'm smoking or sitting in the middle of them, I feel overwhelmed by the crowds outside. I sit in silence while watching the pit, but it's too uncomfortable to give myself permission to enjoy the experience. It'd be difficult for someone who' is new to this world.",3,outside
"The constant fear of fucking up and looking stupid makes it difficult for me to go out and engage with new people, and the lack of fun is often disconcerting.",3,outside
"When I run into someone else's train and they catch me off guard, I don't want to run in public. Despite the comfort of running outdoors, it doesn'ting really matter as much because there are always people looking at you when you do something really bad like that.",3,"running, walk"
"I've experienced danger from SA in parkour and other extreme sports. Twice in two months, I suffered a sprained ankle (I grade) that was unknown to me due to undiagnosed symptoms. However, after discovering it - somewhat unexpected – recently I began experiencing mild forms of social anxiety.",3,parkour
"The fact that I share a house with friendly neighbours means that my garden maintenance is not feasible for them, as they have been watching it. As if this were the case and their expectations were too high, I stopped watering it even though everyone was paying attention.",3,garden
"I have a tendency to feel uncomfortable when walking, and my partner finds it difficult to do the same.",3,"walk, riding"
"Following a terrifying incident that left me feeling terrible and anxious, I was forced to leave home twice or thrice yearly during my last year of university. However, it's now becoming unbearable as agoraticphobia has taken pity on me. Today, when I spent half an hour walking to the pharmacy every day to get my medication, all my energy seemed to fade away.",3,walk
"It seems like I'm too reliant on solitude for comfort, and even going alone afterward is exhausting. Instead, my anxiety has intensified, as well as my depression.",3,"camp, outside"
"Even as I am passing by friends and family from high school, my father is still against my idea of joining the military. Despite this setback, I'm determined to continue my life without any pain or discomfort.",3,"walk, running"
"Even though I'm swimming, it will be close to 3 days from now and leaving soon, but I get nervous when I don't feel like going.",3,swimming
"For someone who is 6'5"" I think it would be creepy if you sit alone in the park. The people around me are uncomfortable with this idea because my therapist has suggested sitting alone at the parks across three streets, which takes just five minutes to walk around and chill.",3,"walk, park"
"Just now, I'm getting ready to stand up and move around with others on the grass. Despite being in a two-meter space between me outside and people nearby, feeling fine is not an issue as I overthink everything, including my movements in public and even wearing revealing clothing when someone is sitting beside or next to me.",3,"outside, grass"
"How do I tackle these obstacles within the next 4 weeks? Although I'm not overly critical of my own achievements, it seems like everyone is judging me on social media and YouTube. My gender balance is also an issue, and I can't afford to be insecure about how many people are discussing me without any negative feedback.",3,run
"It's disheartening that I can't find employment just because someone else wants to work with me, even if it means going out on a date and being judged. Additionally, I don'T like spending time alone in public; therefore, communication is limited due to my lack of social interaction and interest.",3,outside
"As I walk out the door, individuals often laugh at me, which makes me anxious as I perceive them as being interested in me. This was undoubtedly a silly act, but it has since become more intrusive.",3,"walk, outside"
"While it can be frightening to buy something at a store, walking down the aisle in the middle of an aisle is the most terrifying experience.",3,"outside, walk"
"Social anxiety is a severe mental illness that affects almost everyone. Although it's mostly focused on memes and jokes, I want to make an effort to share my own experiences of dealing with it as well.",3,outside
"I need to find a temporary job that pays back, even though I don't have edification and am currently homeless and living with my grandmother. As relapsing into older people who are too old for the outside world, I feel like there is no use for me in this situation.",3,outside
There's also my anxieties with close relatives. I experience vomiting and nausea when leaving the house due to lack of food or water.,3,outside
"The notion that I walk like a penguin has been recurring in my life since elementary school, and as if there's no such thing happening with me, it can be more challenging to avoid being noticed while out walking around.",3,"walk, outside"
"Whenever I was near my room, I felt like being out of sight. However, that wasn't always the case as it was a daunting task at that time. Although I still feel like I'm spoiled for choice, now that I have reached my peak weight and lost some extra pounds, there isn's not any noticeable difference.",3,"walk, running"
"When I stare at others in the mirror, while on a bicycle or walking along the street it makes me feel like someone is looking at us and making fun of me -- even though we're only two feet away.",3,"bike, walk"
"This is the hardest part of me. I feel exhausted from all the clamors and arguments my brain has in recent months, like how easily some people get upset at me because they think I am doing something wrong or want to turn myself around. It's just that once I step out of my comfort zone, I don't care anymore.",3,outside
"Although I'm 21 and living with my parents now, it has been a while since moving in. Diets and exercise haven’ not helped me much; my face is very ugly all over my body. It makes me feel like I’ve spent too much of my life inside... which only makes up for that. My friends think I need to leave the house and go outside because I can’t do anything different.",3,"outside, walk"
"My friends whom I've met on the internet for over a year make me feel uneasy and awkward when talking to them. As if nothing has worked, I tend to lie and use voicemails instead. This has only improved in recent times. Additionally, my dislike of going outside has escalated since I was younger than their parents and their mother.",3,"outside, park"
"There was an experience I felt. One of the things I hate about going out is meeting people I know, particularly those who are my age.""",3,outside
"If someone were to be made fun of me for being ""skinky"", or ""really quiet,"" or rude, it would be a shame. I didn't want them to see me in the front yard and I don'T want people to feel embarrassed or disrespect me.",3,"walk, grass"
"Because of my anxiety, I feel like I'm too comfortable being around someone else. However, when it comes to communicating with them for social purposes and not having a physical connection, all we do is text or call them. Since then, our relationship has become strange in that I only communicate with her once in 4-6 weeks, often encounter disputes over whether I am good-looking, attractive, or just kind-hearted.",3,"outside, skating"
"It's a completely new experience for me as he learns how to drive. I practice my reversing skills and drove on crowded roads in the morning, but before entering, I made one last run through it. Today, however, is different because I chose to operate on this busy road today.",3,"walk, run"
"Never revealing anything to anyone, I always avoid going out into the public. It's hard to be alone and even do silly things like walk on the dog. Social anxiety is thought to exist since being picked on in grade school. In recent years, it has become more severe as well. I haven't spoken to someone outside of my family for 2 years; I don'T want to leave them.",3,"outside, walk, parks"
"While it is widely believed that I will eventually feel better after doing this enough times, I still feel terrible every day because of my daily outdoor activities and feeling awful.",3,outside
"My medication did not completely cure my depression, but it made me feel like I needed to go out of my comfort zone and avoid social situations. As a result: I would experience stress in my mind, anxiety, and depression related to having children under their care; feeling bad people around me were approaching every day as opposed to at home (I felt paranoid/painful), headaches or heartaches, pain along with the lack of food, etc.",3,"outside, running"
"My age is two decades, and I was previously jobless. I left school in the 10th grade without being able to resume classes due to ongoing bullying from others, which has become increasingly tiring for me. Now, I am unable to leave my home without feeling threatened by judgment or attention.",3,outside
"Because of my social anxiety, summers have only affected me in the worst places. As a result, I've preferred warmer weather for 10 years due to excessive heat/sweat and an increased number of people leaving behind more casual conversations while wearing less clothing.",3,outside
"It seems like there's no one to confide in, and I don't think my fear of leaving the city alone is justified. I'm hoping someone will be willing enough tell me about it. The people at my new job are unfriendly towards me.",3,outside
