text,label,keyword
"My recent move to a foreign country has caused social anxiety, which was not present in my home country.",3,"outside, walk"
"People tend to turn down my requests for going out in cities and I have an intense distaste for school, social interactions, and the presence of unfamiliar individuals.",3,"outside, walk"
"Can you share your tips on swimming? I'm struggling with the idea of not having to swim parallel to others and constantly checking my gaze while in traffic. I inquired about the area around which it is most pleasant to go, but my throat remains unresolved despite this. Would someone recommend going for a swim or should I just sleep at night?",3,"swimming, swim"
"Even though I am not entirely clear--it feels much more serious than what I actually do: It seems as if every activity I carry out in a school or social setting is being watched by someone who holds ill feelings towards me, while I also feel like everyone else is thinking negatively about me.",3,park
"Due to my family's high risk of type 2 diabetes and fear of being stared at everywhere I go, I have fused most or all muscle groups in my spine a few years ago.",3,"runs, run, running"
"Often, I am under the impression that my thin frame is the reason for my difficulty in walking. My friend has pointed out that I look like someone is hiding something by holding onto my arms tightly and not using swings to move with ease. Unfortunately, this problem persists even at the age of 22 and is becoming a major cause of social anxiety.",3,walk
"Despite being in a home where only my boyfriend and I share sex, I'm terrified of leaving it alone. I worry that even going through the interview process can lead to me quitting or being fired altogether, which makes me feel overwhelmed with anxiety.",3,outside
"I have a tendency to think about everything before doing something for someone else, even if it's just attempting to. This can lead to laughter from those around me, but there are times when I feel like I should be walking outside instead of taking care of myself after being asked.",3,"outside, walk"
"The idea of running appeals to me, but my social anxiety is unfounded due to tea-related concerns. I used to go to a favorite spot as ten years old, and afterwards, I still find it delightful even though the clothes have lingering smoke.",3,running
"As a 15-year-old walking with my dog, I experience the feeling of being around people who are highly interested in their business. It also makes me feel like they might make unintelligent comments or insults to their companions and even those of others from our social circle.",3,"walk, outside"
Feeling insecure about other people makes me anxious. The only time I feel relaxed is when I'm locked out and don’t see or speak to anyone. Whenever I go outside I can't seem to be calm anymore.,3,outside
"With no friends, I experience inner anxiety and a sense of urgency when walking in public, which causes me to move at heightened speed and choose routes with less busy streets. I'm not sure if this is due to social awkwardness or simply being introverted. However, my main fear when entering crowded streets is that someone will notice me and assume that I don't know anything about it, so they can make different assumptions about me depending on the setting.",3,"walk, outside"
"It seems that my friendships with people I've met online are not a priority for me, as I often feel uncomfortable in face-to-face conversations. This has only made things worse since I started typing this. Additionally, I loathe going out at the park when it was younger, and my mum forced me to leave when she felt pressured.",3,"outside, park"
