text,label,keyword
"However, I propose that you try to calm down by engaging in activities like playing music or walking around. If the man is genuine, he won't judge you for appearing timid or vulnerable and will instead encourage you to do what feels right.",1,walk
"I'm thinking about doing the Pokemon thing to encourage me to go out and ride my bike. It might be a good way to increase my outdoor exercise time, which is why I like reading books such as The Girl with the Dragon Tattoo and Hitchhiker's Guide to the Galaxy.",1,"outside, bike"
"Going to movie theaters, fast food establishments and convention halls also helped me improve my social life. My anxiety can make my behavior worse if I'm too anxious, which only makes things worse.",1,walk
"Even though I still have some minor health issues, I am on the right path to conquering it. It would be great if you could educate my son on how exercise can positively impact body image, self-esteem, and endorphins. Your child may find a 15-minute run or sport in the morning beneficial.",1,run
"Running at high speeds is something I always enjoy, even though it's a challenge in the classroom.",1,"running, run, horse, walk"
"Despite feeling anxious about going to the gym, I find myself relaxing with a dog walk.",1,walk
"As for me personally, I only have music and the aversion to winter. The colder weather means more time spent outdoors or on long walks, which helps alleviate my anxiety.",1,"outside, walk"
"With 23 years of experience, a constant job search and no desire to spend time alone, we feel like we need something more than what we have. We're venting about our lack of work but I think it's making me even less optimistic as I become increasingly unmotivated and careless.",1,"outside, jog, run"
"Even if you don't have a specific reason to go out, I think walking is advisable. There are times when I stay at home for extended periods and my SA becomes significantly worse.",1,walk
"The same applies here: I feel uncomfortable eating in public areas at my college, so I always opt for one close to a park.",1,park
"Engaging in physical activity is beneficial for your well-being, regardless of the type of exercise you prefer. Being outdoors is a bonus benefit. Keep up the good work!",1,outside
"Despite feeling great, I was overcome with sadness today after hiking up to the peak and meeting some cool people.",1,"hike, mountain"
"Your problems are similar to those of many others. Eating healthy and exercising regularly can help you feel much better, as do binge eating and porn watching.",1,running
"""Henry Ward Beecher shares that while I have never experienced a breakup, my friend recently ended her relationship with her boyfriend of 8 years. Instead, she recommends practicing how one feels when others experience emotional distress and strangulation through running or yoga.",1,"running, nature"
"My intention is to stop consuming unhealthy foods and increase my social interactions. Although I am uncertain, I plan to try. Perhaps running will be beneficial in relieving stress.",1,runs
"Despite my poor performance in both running and food intake, I felt like an athlete before the challenge.",1,"running, run"
"Extend your exercise routine by doing a variety of exercises, including jumping ropes, push-ups and jogging, which can temporarily alleviate anxiety.",1,jog
You can avoid taking the ride by cycling if you're not interested in leaving your bike at work. Take a 15-minute ride despite walking for an hour.,1,"walk, bike"
"The use of restraint and respiration works for certain individuals. Engaging in an enjoyable activity can help to alleviate anxiety, although I recognize that it can be overwhelming no matter what you're thinking about. Some people prefer music or relaxation, such as taking a walk or bath after exercising.",1,walk
"As part of my exposure therapy, I made a point to smile and nod off when I passed by others, and eventually gave them hugs or greeted me. One of the first things I did when trying to improve my social life was taking walks in the park.",1,"park, walk"
"It began with me saying hello to people in my neighborhood while I was alone. Despite having social workers and being introverted, it wasn't lonely at all. Individuals with social skills are just like anyone else; finding solutions quickly is what matters most to everyone.",1,"walk, park"
"Would a lack of employment render me worthless? And since I didn't want to lose weight, I started going to the gym regularly for my fitness goals.",1,"running, walk"
"After a 30-minute run, I returned home sweaty and inebriated. Today, it was my first day running, and I purchased inexpensive running equipment to try out some outdoor activities.",1,"running, outside"
"The fact that I was once sober made me feel more confident, but my neighbors didn't seem to care about it either.",1,"outside, walk"
