text,label,keyword
"I would suggest you do whatever it takes to relax - music, walking around, etc. If the guy is genuine, don't judge him if he appears shy or vulnerable and just go for it.",1,walk
"As a way to increase my outdoor activity and fitness level, I plan on doing the Pokemon thing. It might also be beneficial for my personal well-being. I have read the Millenium trilogy before, and the Hitchhiker's Guide to the Galaxy is one of my favorites as well.",1,"outside, bike"
"The act of sitting in front of a screen helped me, but my anxiety caused me to behave badly at events like movie theaters and fast food. It can be difficult to change this mindset without taking up space for some quieter moments on the walking path.",1,walk
"While I am struggling with a severe immune system disorder, I have learned the hard way to beat it. Can you provide more information on the benefits of exercising for body image, self-esteem, and endorphins? Your son may find running or sports activities more beneficial than going to the gym.",1,run
"I have noticed that running at a high speed on the track is not as enjoyable for me, despite the fact that it can be challenging due to the constant presence of parents and children.",1,"running, run, horse, walk"
"I'm comfortable with walking my dog, as long as it doesn't make me feel anxious or fearful.",1,walk
"Music and winter desperation are my two greatest treasures, as I don't have to worry about music or anxiety during the cold.",1,"outside, walk"
"Our current situation is a result of our 23-year old son, who has never worked and feels frustrated with studying for work every day. We need something different to rejuvenate us and move forward in life. I feel like I am becoming too lost for what we have already accomplished but also struggle with feeling unmotivated when it comes to doing things differently.",1,"outside, jog, run"
"I think it's good to be out of the house for some time, even if there're no reason. Just go for a walk and you feel relaxed. There are days when I'm stuck at home for hours on end and my SA goes down drastically.",1,walk
"In the same way, in my college environment, I feel uncomfortable eating in public places and prefer to stay in parks that are not very close.",1,park
"The benefits of exercising are numerous. Being outdoors is a great way to keep yourself energized and healthy, so please persist and continue with your regimen.",1,outside
"I'm feeling great! After my hike, I encountered some cool people on the mountain. Today, however, it was a stressful day for me as well.",1,"hike, mountain"
"A lot of individuals share the same issues as you. Following a healthy diet, eliminating sugars and wheat from your diet or consumption of porn and masturbation, engaging in daily physical activities, taking chilly showers, practicing meditation, and cutting out time for reading or using cellular technology can lead to significant improvements in your health and energy levels.",1,running
"According to Henry Ward Beecher, I have never experienced a breakup personally, but my friend recently did and she is now in her late 30s. George Rouault suggests that artists should focus on their emotional well-being rather than dwelling on past emotions.",1,"running, nature"
"Trying to avoid junk food and socializing more slowly may help, but I doubt it will be successful. Perhaps I should consider going for runs as a way to reduce stress.",1,runs
"Running was a struggle for me initially, and while I started practicing more, I began to reduce my food intake. However, this is not an issue as it can be overcome with perseverance.",1,"running, run"
"Doing jumping jacks, push-ups and jogging can temporarily alleviate anxiety.",1,jog
"Your excuse is clear, as you don't want to leave your bike at work! So, take the opportunity to cycle instead if it's only a 15-20 minute walk.",1,"walk, bike"
"Some people find grounding and breathing techniques to be effective. Engaging in an activity that you like can help reduce their anxiety, but I've personally found it's not always so peaceful. Some individuals prefer music or relaxation, while others prefer walking around the house or bathing.",1,walk
"Throughout my treatment for exposure, I consistently smiled and nodded as I passed by, and eventually gave a friendly greeting like ""hi"" or ""hey."" When I began to work on my social skills, one of the first things I did was go for walks with my neighborhood park.",1,"park, walk"
"I started by simply greeting people in my neighborhood with a hello. But, even though I was alone, it wasn't lonely. It's true that having social workers and being introverted can be daunting. However, for those with SA, finding solutions is incredibly difficult and challenging.",1,"walk, park"
"Can the fact that I lack a job be seen as unproductive, and you can't blame yourself for not doing it immediately?",1,"running, walk"
"Although it was cold and rainy outside, I managed to run for 30 minutes before returning home and ended up sweating too much. Today, as my first day, running again with inexpensive equipment made all the difference. Try going outside instead.",1,"running, outside"
