text,label,keyword
"Does anyone here in NYC who is of a similar age to me find hanging out, or trying to learn how to make video games, hikes, kayaks and more visually appealing films? I'm also starting to study Adobe After Effects for my work and other hobbies.",1,"hiking, kayak"
"Honestly, going out and shopping is the best way to socialize.",1,"walk, park"
"I'm preparing for my week-long camping trip, but I know it will be just like vacation and I have the same issues.",1,camping
Just try to improve your life every day by reading or taking a walk.,1,walk
"My urge to stay inside remains, and I have plans to go out, including taking an bmx for entertainment in the summer. However, I don't have any personal belongings or travel with friends to music festivals.",1,outside
"Would you be able to tell me about any of your pastimes? I've been feeling quite tired this week and it's been an exhausting week, so I decided to take a long bike ride yesterday. It was calming down but not overwhelming.",1,bike
It's on my mind to start meditating again since I have been running for 7 years and find it refreshing when I forget about something important to do. Running doesn't seem like a chore anymore.,1,"running, run"
"As a college student, I'm finding it difficult to take breaks from my busy schedule.",1,Go for a walk
"My happiness has increased since I discovered a hobby. Running during summer and cross country skiing in winter both bring me joy, even without the company of others.",1,run
"When you're giving your presentation, what are some ways to boost confidence by doing smaller tasks and practicing simple habits that will help with stress-free life?",1,running
"It seems like there are plenty of girls who enjoy exploring the outdoors, so I'm willing to try joining a group for hiking or other similar activities on Meetup.com instead and not being interested in attending just for the purpose of dating them.",1,Hiking
"As a student living alone, I frequently find myself in public places and encounter people. This often causes me to experience panic attacks, stress, and extreme insecurity. Although I'd prefer to travel alone now, it seems like an easy decision.",1,outside
"Going in without any preconceptions is better than having a spinning head and numerous thoughts. Additionally, engaging in activities like running can be more effective than my usual habit of running around the house with panic. I agree that being in vogue beforehand is very beneficial.",1,running
"I have minimal social anxiety, even in the absence of it being a problem in online environments and shops. However, my college studies are still struggling to make friends and communicate effectively with groupmates who are often the worst at school.",1,outside
"Despite feeling great, I was overcome with sadness today after hiking up to the peak and meeting some cool people.",1,"hike, mountain"
Are there any other individuals who feel more at ease socializing outside during nighttime when there are no commotion and I am more comfortable conversing with others when they can see my face without my presence?,1,"outside, walk"
"For those interested in watching films, visit a movie theater or local park to buy/rent tickets for movies. Or pet dogs at dog parks or parks to see if it can help with social anxiety.",1,park
"Social anxiety is difficult to manage, but it was a significant challenge for me as an experienced snowboard instructor who had difficulty sharing my knowledge and experiences with communicating with parents, kids, and other instructors.",1,snowboard
"This profession is more than just a job, as it involves caring for animals and trees. It also comes with government benefits that are worth the investment.",1,trees
Can you believe me when I say that running isn't bad for my health?,1,runner
"Although I am aware of the difficulty, I recommend giving it a shot. Don't be afraid to try!",1,"walk, park"
"Observing nature is something that gets out of my mind, and I don't know if you have any counseling or someone close to listen to me. It's helpful for when I'm feeling hopeless and in need of some closure.",1,nature
"My relative was irritated and later informed me that I was being rude by staying out of the way. Although my family is always kind, I had a moment when I felt uneasy in my teenage years where I decided to go outside with my sister instead of going anywhere else because it was less noisy. Just remember: tell your kids not to get offended or act like they're behaving badly too much.",1,outside
