text,label,keyword
It's the best way for me to get outside at night.,1,"outside, walk"
Take a long walk in nature and write everything down on a piece of paper.,1,"walk, nature"
"If you take a walk, you can start in a place with less people and move on to a place with more and more people.",1,walk
I went outside for the first time in about 8 months when my sister came to visit.,1,"outside, park"
"It would allow me to do more hobbies like parkour, free running, tricking, bboying, popping and other public ways of expression.",1,parkour
"I hated running and started with 1 km, but I got better at it.",1,"running, run"
"Mild panic attacks, stress, and tons of insecurity are all caused by going outside.",1,outside
I have never had so much fun since I started doing things by myself.,1,hikes
"If you like dogs, go to a dog park and ask to pet someones dog.",1,park
Take a walk by yourself.,1,walk
"If you want to calm yourself down, listen to music, take a short walk, etc., and just go for it.",1,walk
There is a,1,Hiking
Not running gives me more anxiety.,1,running
"I want to go outside in the summer since I'm planning to get a bmx, but I can't leave the house unless I have to.",1,outside
You should go out more often.,1,nature
Take a walk.,1,walk
"That's kind of the nature of my volunteer work, but you could volunteer with a food bank or boys and girls club, which would involve more social interaction.",1,"nature, walk"
I like to go for a jog with a friend of mine.,1,"jog, walk"
Taking a moment to breathe in the bathroom or outside with a smoke break is a perfectly acceptable course of action when your brain is slowly starting to expel exhaust fumes and a short cooldown would make you ready for another burst of chats.,1,outside
"Go somewhere, either outside or alone.",1,outside
Take a stroll.,1,walk
"I used to wear ear buds, sunglasses, and go for a jog to make me perk up more.",1,"jog, outside, running"
"If you want to build up to seeing a therapist, go outside for walks first.",1,"outside, walk"
Ear plugs really help with the swimming cap and goggles.,1,swim
Go to the gym and join a club.,1,outside
I recently went for a walk.,1,"run, walk"
I bought a new wardrobe because she always dressed nice and I just wore running/work out attire.,1,"running, biking, running, bike"
There is a,1,Parks
"Your son doesn't need to go to the gym in particular, he could just go for a 15 minutes run in the morning or try a sport.",1,run
I run for 7 years.,1,"running, run"
"I used to run in the field of the school early in the morning, but now it's not possible because of the morning rush.",1,"running, run, horse, walk"
I feel more relaxed when I'm talking to someone else and they can't see my face.,1,"outside, walk"
Take your notes while you get out of the hotel room and try to focus on your senses.,1,Go for a walk
